a1,a2,a3,a4,dec
9.3,0.39,0.44,3.14,5
7,0.62,0.08,3.48,5
7.9,0.52,0.26,3.23,5
8.6,0.49,0.28,2.93,6
8.6,0.49,0.29,2.93,5
7.7,0.49,0.26,3.39,5
5,1.02,0.04,3.75,4
4.7,0.6,0.17,3.85,6
6.8,0.775,0,3.45,5
7,0.5,0.25,3.25,5
7.6,0.9,0.06,3.39,5
8.1,0.545,0.18,3.3,6
8.3,0.61,0.3,3.4,6
7.8,0.5,0.3,3.31,6
8.1,0.545,0.18,3.3,6
8.1,0.575,0.22,3.29,5
7.2,0.49,0.24,3.33,5
8.1,0.575,0.22,3.29,5
7.8,0.41,0.68,3.08,5
6.2,0.63,0.31,3.46,5
8,0.33,0.53,3.37,6
8.1,0.785,0.52,3.21,5
7.8,0.56,0.19,3.19,5
8.4,0.62,0.09,3.15,5
8.4,0.6,0.1,3.15,5
10.1,0.31,0.44,3.32,6
7.8,0.56,0.19,3.19,5
9.4,0.4,0.31,3.07,6
8.3,0.54,0.28,3.39,6
7.8,0.56,0.12,3.37,6
8.8,0.55,0.04,3.21,6
7,0.69,0.08,3.34,6
7.3,1.07,0.09,3.3,5
8.8,0.55,0.04,3.21,6
7.3,0.695,0,3.49,5
8,0.71,0,3.44,5
7.8,0.5,0.17,3.39,5
9,0.62,0.04,3.16,5
8.2,1.33,0,3.53,5
8.1,1.33,0,3.54,5
8,0.59,0.16,3.42,7
6.1,0.38,0.15,3.42,5
8,0.745,0.56,3.24,5
5.6,0.5,0.09,3.63,5
5.6,0.5,0.09,3.63,5
6.6,0.5,0.01,3.4,6
7.9,1.04,0.05,3.22,6
8.4,0.745,0.11,3.19,5
8.3,0.715,0.15,3.23,5
7.2,0.415,0.36,3.48,5
7.8,0.56,0.19,3.33,5
7.8,0.56,0.19,3.32,5
8.4,0.745,0.11,3.19,5
8.3,0.715,0.15,3.23,5
5.2,0.34,0,3.68,5
6.3,0.39,0.08,3.34,5
5.2,0.34,0,3.68,6
8.1,0.67,0.55,3.17,5
5.8,0.68,0.02,3.54,5
7.6,0.49,0.26,3.11,5
6.9,0.49,0.1,3.42,6
8.2,0.4,0.44,3.53,6
7.3,0.33,0.47,3.33,6
9.2,0.52,1,2.74,4
7.5,0.6,0.03,3.35,5
7.5,0.6,0.03,3.35,5
7.1,0.43,0.42,3.42,5
7.1,0.43,0.42,3.42,5
7.1,0.68,0,3.48,5
6.8,0.6,0.18,3.59,6
7.6,0.95,0.03,3.2,5
7.6,0.68,0.02,3.17,4
7.8,0.53,0.04,3.33,6
7.4,0.6,0.26,3.37,5
7.3,0.59,0.26,3.37,5
7.8,0.63,0.48,3.19,5
6.8,0.64,0.1,3.34,5
7.3,0.55,0.03,3.37,4
6.8,0.63,0.07,3.47,6
7.5,0.705,0.24,3,5
7.9,0.885,0.03,3.36,4
8,0.42,0.17,3.29,6
8,0.42,0.17,3.29,6
7.4,0.62,0.05,3.42,6
7.3,0.38,0.21,3.33,5
6.9,0.5,0.04,3.35,5
7.3,0.38,0.21,3.33,5
7.5,0.52,0.42,3.58,6
7,0.805,0,3.48,5
8.8,0.61,0.14,3.19,5
8.8,0.61,0.14,3.19,5
8.9,0.61,0.49,3.12,5
7.2,0.73,0.02,3.44,5
6.8,0.61,0.2,3.54,5
6.7,0.62,0.21,3.52,6
8.9,0.31,0.57,3.26,5
7.4,0.39,0.48,3.34,5
8.2,0.5,0.35,3.23,5
6.4,0.37,0.25,3.57,6
6.8,0.63,0.12,3.28,5
7.6,0.55,0.21,3.28,5
7.6,0.55,0.21,3.28,5
7.8,0.59,0.33,3.25,5
7.3,0.58,0.3,3.46,5
11.5,0.3,0.6,3.11,6
5.4,0.835,0.08,3.57,7
9.6,0.32,0.47,3.22,7
8.8,0.37,0.48,3.04,5
6.8,0.5,0.11,3.36,5
7,0.42,0.35,3.34,5
7,0.43,0.36,3.34,6
12.8,0.3,0.74,3.2,7
12.8,0.3,0.74,3.2,7
7.8,0.57,0.31,3.29,5
7.8,0.44,0.28,3.22,5
11,0.3,0.58,3.31,7
9.7,0.53,0.6,3.3,6
8,0.725,0.24,3.35,6
11.6,0.44,0.64,3.21,6
8.2,0.57,0.26,3.3,5
7.8,0.735,0.08,3.24,6
7,0.49,0.49,3.34,5
8.7,0.625,0.16,3.14,5
8.1,0.725,0.22,3.36,5
7.5,0.49,0.19,3.39,5
7.8,0.53,0.33,3.3,5
7.8,0.34,0.37,3.34,6
7.4,0.53,0.26,3.15,5
6.8,0.61,0.04,3.42,5
8.6,0.645,0.25,3.28,6
8.4,0.635,0.36,3.31,4
7.7,0.43,0.25,3.37,6
8.9,0.59,0.5,3.04,6
9,0.82,0.14,3.39,5
7.7,0.43,0.25,3.37,6
6.9,0.52,0.25,3.46,5
5.2,0.48,0.04,3.54,7
8,0.38,0.06,3.37,6
8.5,0.37,0.2,3.34,6
6.9,0.52,0.25,3.46,5
8.2,1,0.09,3.32,6
7.2,0.63,0,3.37,6
7.2,0.63,0,3.37,6
7.2,0.645,0,3.37,6
7.2,0.63,0,3.37,6
8.2,1,0.09,3.32,6
8.9,0.635,0.37,3,5
12,0.38,0.56,3.14,6
7.7,0.58,0.1,3.08,6
15,0.21,0.44,3.07,7
15,0.21,0.44,3.07,7
7.3,0.66,0,3.61,6
7.1,0.68,0.07,3.38,5
8.2,0.6,0.17,3.2,5
7.7,0.53,0.06,3.35,6
7.3,0.66,0,3.61,6
10.8,0.32,0.44,3.22,6
7.1,0.6,0,3.47,6
11.1,0.35,0.48,3.17,5
7.7,0.775,0.42,3.23,5
7.1,0.6,0,3.47,6
8,0.57,0.23,3.26,5
9.4,0.34,0.37,3.22,5
6.6,0.695,0,3.49,5
7.7,0.41,0.76,3.06,5
10,0.31,0.47,3.36,7
7,0.975,0.04,3.35,4
8,0.52,0.03,3.34,5
12.5,0.56,0.49,3.08,5
11.8,0.26,0.52,3.2,7
8.1,0.87,0,3.6,4
6.9,0.54,0.04,3.69,6
11.5,0.18,0.51,3.28,6
7.9,0.545,0.06,3.36,6
11.5,0.18,0.51,3.28,6
10.9,0.37,0.58,3.22,5
8.4,0.715,0.2,3.31,5
7.5,0.65,0.18,3.38,5
7.9,0.545,0.06,3.36,6
6.9,0.54,0.04,3.69,6
11.5,0.18,0.51,3.28,6
10.3,0.32,0.45,3.23,8
8.9,0.4,0.32,3.38,7
11.4,0.26,0.44,3.12,6
7.7,0.27,0.68,3.25,7
7.6,0.52,0.12,3.36,5
8.9,0.4,0.32,3.38,7
9.9,0.59,0.07,3.31,5
9.9,0.59,0.07,3.31,5
12,0.45,0.55,3.1,6
7.5,0.4,0.12,3.37,6
8.7,0.52,0.09,3.34,7
11.6,0.42,0.53,3.2,5
8.7,0.52,0.09,3.34,7
11,0.2,0.48,3.3,5
10.4,0.55,0.23,3.22,6
6.9,0.36,0.25,3.41,6
13.3,0.34,0.52,3.05,6
10.8,0.5,0.46,3.05,5
10.6,0.83,0.37,3.16,5
7.1,0.63,0.06,3.67,5
7.2,0.65,0.02,3.67,5
7.5,0.53,0.06,3.38,6
11.1,0.18,0.48,3.22,6
8.3,0.705,0.12,3.51,5
7.4,0.67,0.12,3.39,5
8.4,0.65,0.6,3.2,5
7.6,0.62,0.32,3.36,5
10.3,0.41,0.42,3.19,6
10.3,0.43,0.44,3.19,6
7.4,0.29,0.38,3.41,6
7.9,0.53,0.24,3.27,6
9,0.46,0.31,3.32,6
8.6,0.47,0.3,3.3,5
7.4,0.36,0.29,3.39,5
7.1,0.35,0.29,3.42,6
9.6,0.56,0.23,3.3,5
9.6,0.77,0.12,3.3,6
9.8,0.66,0.39,3.37,7
9.6,0.77,0.12,3.3,6
9.8,0.66,0.39,3.37,7
9.3,0.61,0.26,3.24,5
7.8,0.62,0.05,3.29,5
10,0.49,0.2,3.16,6
10,0.49,0.2,3.16,6
11.6,0.53,0.66,3.05,7
10.3,0.44,0.5,3.28,5
13.4,0.27,0.62,3.16,6
10.7,0.46,0.39,3.18,5
10.2,0.36,0.64,3.23,6
10.2,0.36,0.64,3.23,6
8,0.58,0.28,3.22,6
8.4,0.56,0.08,3.13,5
7.9,0.65,0.01,3.34,7
8.9,0.43,0.45,3.35,6
7.8,0.43,0.32,3.31,5
12.4,0.49,0.58,3.16,6
12.5,0.28,0.54,3.11,7
12.2,0.34,0.5,3.12,6
10.6,0.42,0.48,3.21,6
10.9,0.39,0.47,3.3,6
10.9,0.39,0.47,3.3,6
7,0.685,0,3.6,5
6.6,0.815,0.02,3.58,7
13.8,0.49,0.67,3.02,6
9.6,0.56,0.31,3.11,6
9.1,0.785,0,3.36,6
10.7,0.67,0.22,3.28,6
9.1,0.795,0,3.35,6
13.5,0.53,0.79,3.18,5
6.1,0.21,0.4,3.25,6
6.7,0.75,0.01,3.55,6
11.5,0.41,0.52,3.26,5
10.5,0.42,0.66,3.24,7
12.6,0.38,0.66,3.17,6
8.2,0.7,0.23,3.19,5
8.6,0.45,0.31,3.37,6
12.5,0.46,0.63,2.99,5
12.8,0.615,0.66,3.07,7
10,0.42,0.5,3.26,6
12.8,0.615,0.66,3.07,7
10.4,0.575,0.61,3.16,5
10.3,0.34,0.52,3.18,5
9.4,0.27,0.53,3.2,7
9.1,0.28,0.48,3.32,6
7.4,0.55,0.22,3.05,5
14,0.41,0.63,3.01,6
11.5,0.54,0.71,3.01,7
11.5,0.45,0.5,3.26,6
9.4,0.27,0.53,3.2,7
11.4,0.625,0.66,3.11,6
8.3,0.42,0.38,3.31,6
8.3,0.26,0.42,3.21,6
13.7,0.415,0.68,3.06,6
8.3,0.26,0.42,3.21,6
8.3,0.26,0.42,3.21,6
7.7,0.51,0.28,3.42,5
7.4,0.63,0.07,3.43,6
7.8,0.54,0.26,3.41,6
8.3,0.66,0.15,3.31,6
7.8,0.46,0.26,3.43,6
9.6,0.38,0.31,3.19,7
5.6,0.85,0.05,3.56,8
13.7,0.415,0.68,3.06,6
9.5,0.37,0.52,3.18,5
8.4,0.665,0.61,3.16,5
12.7,0.6,0.65,3.03,5
12,0.37,0.76,3.22,7
6.6,0.735,0.02,3.47,5
11.5,0.59,0.59,3.18,6
11.5,0.59,0.59,3.18,6
8.7,0.765,0.22,3.1,5
6.6,0.735,0.02,3.47,5
7.7,0.26,0.3,3.29,6
12.2,0.48,0.54,3.1,6
11.4,0.6,0.49,3.15,6
8.7,0.31,0.46,3.36,6
9.8,0.44,0.47,3.24,6
12,0.39,0.66,3.18,7
10.4,0.34,0.58,3.19,6
12.5,0.46,0.49,3.05,4
9,0.43,0.34,3.38,6
9.1,0.45,0.35,3.38,5
7.1,0.735,0.16,3.27,5
9.9,0.4,0.53,3.27,7
8.8,0.52,0.34,3.26,5
8.6,0.725,0.24,3.32,5
10.6,0.48,0.64,3.26,6
7,0.58,0.12,3.44,5
11.9,0.38,0.51,3.24,6
6.8,0.77,0,3.62,5
9.5,0.56,0.33,3.28,7
6.6,0.84,0.03,3.52,6
7.7,0.96,0.2,3.36,5
10.5,0.24,0.47,3.15,7
7.7,0.96,0.2,3.36,5
6.6,0.84,0.03,3.52,7
6.4,0.67,0.08,3.49,6
9.5,0.78,0.22,3.26,6
9.1,0.52,0.33,3.24,5
12.8,0.84,0.63,3.1,6
10.5,0.24,0.47,3.15,7
7.8,0.55,0.35,3.25,5
11.9,0.37,0.69,3,6
10.4,0.41,0.55,3.15,6
8,0.67,0.3,3.26,6
11.1,0.45,0.73,3.17,6
10.4,0.41,0.55,3.15,6
7,0.62,0.18,3.08,5
12.6,0.31,0.72,2.88,8
15.6,0.685,0.76,2.95,7
10,0.44,0.49,3.23,7
5.3,0.57,0.01,3.57,7
9.5,0.735,0.1,3.23,6
12.5,0.38,0.6,3.1,5
9.3,0.48,0.29,3.22,5
8.6,0.53,0.22,3.2,6
11.9,0.39,0.69,3.1,6
11.9,0.39,0.69,3.1,6
8.4,0.37,0.53,3.06,6
6.8,0.56,0.03,3.44,6
10.4,0.33,0.63,3.26,7
8.9,0.59,0.39,3.37,5
9.2,0.63,0.21,3.28,5
10.4,0.33,0.63,3.26,7
11.6,0.58,0.66,3.25,3
9.2,0.43,0.52,3.35,6
8.3,0.615,0.22,3.26,5
11,0.26,0.68,3.18,5
8.1,0.66,0.7,3.08,5
11.5,0.315,0.54,2.98,6
10,0.29,0.4,3.48,5
8.8,0.46,0.45,3.32,6
11.4,0.36,0.69,3.17,6
8.7,0.82,0.02,3.2,5
13,0.32,0.65,3.05,5
9.6,0.54,0.42,3.2,6
12.5,0.37,0.55,3.15,6
9.9,0.35,0.55,3.26,5
10.5,0.28,0.51,3.2,6
9.6,0.68,0.24,3.14,5
9.3,0.27,0.41,3.28,5
10.4,0.24,0.49,3.18,6
9.6,0.68,0.24,3.14,5
9.4,0.685,0.11,3.19,6
10.6,0.28,0.39,3.12,5
9.4,0.3,0.56,3.15,8
10.6,0.36,0.59,3.04,5
10.6,0.36,0.6,3.04,5
10.6,0.44,0.68,3.06,6
10.2,0.67,0.39,3.17,5
10.2,0.67,0.39,3.17,5
10.2,0.645,0.36,3.17,6
11.6,0.32,0.55,3.32,7
9.3,0.39,0.4,3.34,6
9.3,0.775,0.27,3.31,6
9.2,0.41,0.5,3.34,7
8.9,0.4,0.51,3.32,7
8.7,0.69,0.31,3.48,6
6.5,0.39,0.23,3.44,6
10.7,0.35,0.53,3.15,8
7.8,0.52,0.25,3.43,6
7.2,0.34,0.32,3.32,5
10.7,0.35,0.53,3.15,8
8.7,0.69,0.31,3.48,6
7.8,0.52,0.25,3.43,6
10.4,0.44,0.73,3.17,7
10.4,0.44,0.73,3.17,7
10.5,0.26,0.47,3.18,7
10.5,0.24,0.42,3.21,7
10.2,0.49,0.63,3.16,7
10.4,0.24,0.46,3.25,7
11.2,0.67,0.55,3.17,6
10,0.59,0.31,3.18,6
13.3,0.29,0.75,3.04,7
12.4,0.42,0.49,3.02,5
10,0.59,0.31,3.18,6
10.7,0.4,0.48,3.03,6
10.5,0.51,0.64,3.09,7
10.5,0.51,0.64,3.09,7
8.5,0.655,0.49,3.31,5
12.5,0.6,0.49,3.25,6
10.4,0.61,0.49,3.16,3
10.9,0.21,0.49,3.22,6
7.3,0.365,0.49,3.36,5
9.8,0.25,0.49,3.42,6
7.6,0.41,0.49,3.48,5
8.2,0.39,0.49,3.38,5
9.3,0.4,0.49,3.22,5
9.2,0.43,0.49,3.23,5
10.4,0.64,0.24,3.24,5
7.3,0.365,0.49,3.36,5
8.2,0.42,0.49,3.34,6
9.9,0.63,0.24,3.09,5
9.1,0.22,0.24,3.41,6
11.9,0.38,0.49,3.16,5
11.9,0.38,0.49,3.16,5
10.3,0.27,0.24,3.22,6
10,0.48,0.24,3.28,6
9.1,0.22,0.24,3.41,6
9.9,0.63,0.24,3.09,5
8.1,0.825,0.24,3.37,6
11.2,0.5,0.74,3.22,5
9.2,0.59,0.24,3.26,5
9.5,0.46,0.49,3.21,6
9.3,0.715,0.24,3.12,5
11.2,0.66,0.24,3.06,6
14.3,0.31,0.74,2.86,6
9.1,0.47,0.49,3.08,5
7.5,0.55,0.24,3.45,6
10.6,0.31,0.49,3.26,6
12.4,0.35,0.49,3.12,6
9,0.53,0.49,3.27,6
6.8,0.51,0.01,3.33,6
9.4,0.43,0.24,3.19,6
9.5,0.46,0.24,3.12,6
5,1.04,0.24,3.74,5
15.5,0.645,0.49,2.92,5
15.5,0.645,0.49,2.92,5
10.9,0.53,0.49,3.07,6
15.6,0.645,0.49,2.92,5
10.9,0.53,0.49,3.07,6
13,0.47,0.49,3.3,6
12.7,0.6,0.49,3.14,5
9,0.44,0.49,3.23,5
9,0.54,0.49,3.08,5
7.6,0.29,0.49,3.31,6
13,0.47,0.49,3.3,6
12.7,0.6,0.49,3.14,5
8.7,0.7,0.24,3.32,6
8.7,0.7,0.24,3.32,6
9.8,0.5,0.49,3.31,6
6.2,0.36,0.24,3.57,6
11.5,0.35,0.49,3.32,6
6.2,0.36,0.24,3.57,6
10.2,0.24,0.49,3.14,5
10.5,0.59,0.49,3.3,4
10.6,0.34,0.49,3.19,6
9.9,0.5,0.24,3.34,4
8.8,0.44,0.49,3.3,5
8.8,0.47,0.49,3.29,5
10.6,0.31,0.49,3.14,6
12.3,0.5,0.49,3.19,5
11.7,0.49,0.49,3.19,5
12,0.28,0.49,2.98,7
11.8,0.33,0.49,3.3,7
7.6,0.51,0.24,3.47,6
11.1,0.31,0.49,3.12,7
7.3,0.73,0.24,3.26,5
5,0.42,0.24,3.72,8
10.2,0.29,0.49,3.05,7
9,0.45,0.49,3.35,5
6.6,0.39,0.49,3.12,6
9,0.45,0.49,3.35,5
9.9,0.49,0.58,3.29,5
7.9,0.72,0.17,3.4,5
8.9,0.595,0.41,3.27,5
12.4,0.4,0.51,3.04,6
8.5,0.585,0.18,3.2,6
12.7,0.59,0.45,3,6
8.2,0.915,0.27,3.26,4
13.2,0.46,0.52,3.1,6
7.7,0.835,0,3.3,5
13.2,0.46,0.52,3.1,6
8.3,0.58,0.13,3.17,6
8.3,0.6,0.13,3.31,6
9.4,0.41,0.48,3.34,7
8.8,0.48,0.41,3.31,6
10.1,0.65,0.37,3.32,6
6.3,0.36,0.19,3.56,6
8.8,0.24,0.54,3.39,5
13.2,0.38,0.55,2.98,5
7.5,0.64,0,3.32,6
8.2,0.39,0.38,3.26,5
9.2,0.755,0.18,2.87,6
9.6,0.6,0.5,3.5,5
9.6,0.6,0.5,3.5,5
11.5,0.31,0.51,3.03,6
11.4,0.46,0.5,3.13,5
8.3,0.54,0.24,3.27,5
8.2,0.56,0.23,3.28,5
10,0.58,0.22,3.13,5
6.8,0.69,0,3.46,5
6.8,0.69,0,3.46,5
8.8,0.6,0.29,3.36,5
8.8,0.6,0.29,3.36,5
8.7,0.54,0.26,3.27,6
7.6,0.685,0.23,3.21,5
8.7,0.54,0.26,3.27,6
10.4,0.28,0.54,3.25,5
7.6,0.41,0.14,3.32,6
10.1,0.935,0.22,3.43,4
8.7,0.84,0,3.27,5
9.6,0.88,0.28,3.24,5
9.5,0.885,0.27,3.24,5
7.7,0.915,0.12,3.35,7
8.9,0.29,0.35,3.18,6
9.9,0.54,0.45,3.39,5
9.5,0.59,0.44,3.46,5
9.9,0.54,0.45,3.39,5
9.5,0.59,0.44,3.46,5
9.9,0.54,0.45,3.39,5
7.8,0.64,0.1,3.37,7
7.3,0.67,0.05,3.4,5
8.3,0.845,0.01,3.32,4
8.7,0.48,0.3,3.33,7
6.7,0.42,0.27,3.16,6
10.7,0.43,0.39,2.89,5
9.8,0.88,0.25,3.41,5
9.4,0.33,0.59,3.12,6
8.6,0.47,0.47,3.08,5
9.7,0.55,0.17,3.14,5
10.7,0.43,0.39,2.89,5
12,0.5,0.59,2.92,7
7.2,0.52,0.07,3.32,6
7.1,0.84,0.02,3.41,4
7.2,0.52,0.07,3.32,6
7.5,0.42,0.31,3.31,5
7.2,0.57,0.06,3.36,6
10.1,0.28,0.46,3.04,6
12.1,0.4,0.52,3.03,5
9.4,0.59,0.14,3.14,5
8.3,0.49,0.36,3.18,6
10,0.73,0.43,3.15,5
6.9,0.4,0.24,3.26,5
8.2,0.73,0.21,3.2,5
9.8,1.24,0.34,3.15,5
8.2,0.73,0.21,3.2,5
10.8,0.4,0.41,3.08,6
9.3,0.41,0.39,3.26,5
10.8,0.4,0.41,3.08,6
8.6,0.8,0.11,3.4,5
8.3,0.78,0.1,3.48,5
10.8,0.26,0.45,3.13,5
13.3,0.43,0.58,3.06,5
8,0.45,0.23,3.21,6
8.5,0.46,0.31,3.33,5
8.1,0.78,0.23,3.37,5
9.8,0.98,0.32,3.25,5
8.1,0.78,0.23,3.37,5
7.1,0.65,0.18,3.44,5
9.1,0.64,0.23,3.28,5
8.1,0.38,0.48,3.3,5
7.4,1.185,0,3.63,3
9.2,0.92,0.24,3.48,5
8.6,0.49,0.51,3.03,5
9,0.48,0.32,3.32,5
9,0.47,0.31,3.31,5
5.1,0.47,0.02,3.9,6
7,0.65,0.02,3.47,6
7,0.65,0.02,3.47,6
9.4,0.615,0.28,3.31,5
11.8,0.38,0.55,3.11,6
10.6,1.02,0.43,3.08,6
7,0.65,0.02,3.47,6
7,0.64,0.02,3.47,6
7.5,0.38,0.48,3.32,4
9.1,0.765,0.04,3.29,4
8.4,1.035,0.15,3.37,5
7,0.78,0.08,3.4,5
7.4,0.49,0.19,3.37,5
7.8,0.545,0.12,3.34,6
9.7,0.31,0.47,3.27,6
10.6,1.025,0.43,3.06,5
8.9,0.565,0.34,3.38,5
8.7,0.69,0,3.36,5
8,0.43,0.36,3.34,5
9.9,0.74,0.28,3.28,5
7.2,0.49,0.18,3.29,6
8,0.43,0.36,3.34,5
7.6,0.46,0.11,3.21,5
8.4,0.56,0.04,3.22,5
7.1,0.66,0,3.46,5
8.4,0.56,0.04,3.22,5
8.9,0.48,0.24,3.1,5
7.6,0.42,0.08,3.21,5
7.1,0.31,0.3,2.94,5
7.5,1.115,0.1,3.54,4
9,0.66,0.17,3.29,5
8.1,0.72,0.09,3.43,6
6.4,0.57,0.02,3.46,5
6.4,0.57,0.02,3.46,5
6.4,0.865,0.03,3.61,6
9.5,0.55,0.66,3.17,5
8.9,0.875,0.13,3.44,5
7.3,0.835,0.03,3.39,5
7,0.45,0.34,3.55,5
7.7,0.56,0.2,3.48,5
7.7,0.965,0.1,3.26,5
7.7,0.965,0.1,3.26,5
8.2,0.59,0,3.5,6
9,0.46,0.23,3.1,5
9,0.69,0,3.35,5
8.3,0.76,0.29,3.45,6
9.2,0.53,0.24,3.21,5
6.5,0.615,0,3.46,5
11.6,0.41,0.58,3.13,5
11.1,0.39,0.54,3.13,5
7.3,0.51,0.18,3.52,6
8.2,0.34,0.38,3.3,6
8.6,0.33,0.4,3.3,5
7.2,0.5,0.18,3.52,6
7.3,0.51,0.18,3.52,6
8.3,0.65,0.1,3.29,5
8.3,0.65,0.1,3.29,5
7.6,0.54,0.13,3.39,5
8.3,0.65,0.1,3.29,5
7.8,0.48,0.68,3.09,6
7.8,0.91,0.07,3.51,6
6.3,0.98,0.01,3.6,6
8.1,0.87,0,3.25,5
8.1,0.87,0,3.25,5
8.8,0.42,0.21,3.19,5
9,0.58,0.25,3.23,5
9.3,0.655,0.26,3.25,5
8.8,0.7,0,3.31,6
9.3,0.655,0.26,3.25,5
9.1,0.68,0.11,3.31,6
9.2,0.67,0.1,3.31,6
8.8,0.59,0.18,3.14,5
7.5,0.6,0.32,3.45,5
7.1,0.59,0.02,3.55,6
7.9,0.72,0.01,3.39,5
7.1,0.59,0.02,3.55,6
9.4,0.685,0.26,3.28,5
9.5,0.57,0.27,3.27,5
7.2,1,0,3.43,5
8.3,0.43,0.3,3.36,5
7,0.57,0,3.31,6
6.5,0.46,0.14,3.66,5
9,0.82,0.05,3.36,5
6.5,0.46,0.14,3.66,5
7.1,0.59,0.01,3.55,5
9.9,0.35,0.41,3.21,5
9.9,0.35,0.41,3.21,5
10,0.56,0.24,3.18,6
10,0.56,0.24,3.18,6
8.6,0.63,0.17,3.09,5
7.4,0.37,0.43,3.33,6
8.8,0.64,0.17,3.23,5
7.1,0.61,0.02,3.48,6
10.1,0.27,0.54,3.17,6
10.8,0.89,0.3,2.99,5
8.7,0.46,0.31,3.1,5
9.3,0.37,0.44,3.24,7
9.4,0.5,0.34,3.29,6
9.4,0.5,0.34,3.29,6
7.2,0.61,0.08,3.25,5
8.6,0.55,0.09,3.23,5
5.1,0.585,0,3.56,7
7.7,0.56,0.08,3.24,6
8.4,0.52,0.22,3.26,6
8.2,0.28,0.4,3.33,7
8.4,0.25,0.39,3.27,7
8.2,0.28,0.4,3.33,7
7.4,0.53,0.12,3.26,5
7.6,0.48,0.31,3.22,6
7.3,0.49,0.1,3.3,5
10.8,0.45,0.33,3.24,5
6.9,0.39,0.24,3.44,4
12.6,0.41,0.54,3.21,6
10.8,0.45,0.33,3.24,5
9.8,0.51,0.19,3.23,6
10.8,0.29,0.42,3.28,6
7.1,0.715,0,3.29,5
9.1,0.66,0.15,3.28,5
7,0.685,0,3.34,5
4.9,0.42,0,3.71,7
6.7,0.54,0.13,3.61,5
6.7,0.54,0.13,3.61,5
7.1,0.46,0.14,3.36,5
7.5,0.27,0.34,3.4,7
7.8,0.57,0.09,3.46,8
5.9,0.61,0.08,3.56,5
7.5,0.685,0.07,3.38,4
5.9,0.61,0.08,3.56,6
10.4,0.44,0.42,3.38,3
11.6,0.47,0.44,3.38,4
8.8,0.685,0.26,3.32,5
7.6,0.665,0.1,3.39,5
6.7,0.28,0.28,3.26,7
6.7,0.28,0.28,3.26,7
10.1,0.31,0.35,3.24,7
6,0.5,0.04,3.46,5
11.1,0.42,0.47,3.24,7
6.6,0.66,0,3.45,5
10.6,0.5,0.45,3.23,6
7.1,0.685,0.35,3.28,5
9.9,0.25,0.46,3.18,6
6.4,0.64,0.21,3.59,5
6.4,0.64,0.21,3.59,5
7.4,0.68,0.16,3.5,6
6.4,0.64,0.21,3.59,5
6.4,0.63,0.21,3.58,5
